iter	Passed	Remaining
414	3240	4568
415	3244	4554
416	3247	4539
417	3250	4525
418	3252	4510
419	3255	4496
420	3259	4483
421	3263	4469
422	3280	4474
423	3288	4466
424	3295	4458
425	3300	4447
426	3305	4435
427	3327	4446
428	3340	4446
429	3346	4436
430	3352	4425
431	3357	4414
432	3362	4402
433	3365	4389
434	3369	4376
435	3373	4363
436	3379	4353
437	3382	4339
438	3385	4325
439	3389	4313
440	3418	4333
441	3432	4332
442	3440	4326
443	3465	4339
444	3480	4340
445	3491	4337
446	3498	4327
447	3504	4318
448	3509	4307
449	3519	4301
450	3560	4334
451	3587	4349
452	3597	4344
453	3610	4342
454	3615	4331
455	3621	4319
456	3625	4308
457	3629	4295
458	3632	4281
459	3637	4269
460	3640	4256
461	3643	4243
462	3646	4229
463	3649	4215
464	3653	4202
465	3656	4189
466	3659	4176
467	3662	4162
468	3664	4149
469	3668	4136
470	3672	4124
471	3674	4110
472	3677	4097
473	3680	4084
474	3684	4072
475	3687	4059
476	3690	4046
477	3693	4033
478	3696	4020
479	3700	4008
480	3703	3996
481	3706	3983
482	3709	3971
483	3712	3958
484	3716	3946
485	3720	3934
486	3723	3922
487	3726	3909
488	3728	3896
489	3732	3884
490	3753	3891
491	3761	3884
492	3769	3876
493	3774	3866
494	3779	3855
495	3784	3845
496	3798	3844
497	3807	3837
498	3822	3837
499	3826	3826
500	3835	3820
501	3868	3837
502	3874	3827
503	3880	3818
504	3911	3834
505	3941	3848
506	3956	3847
507	3959	3834
508	3964	3823
509	3971	3815
510	3974	3803
511	3977	3791
512	3982	3781
513	3986	3769
514	3989	3756
515	3992	3744
516	3997	3734
517	4025	3745
518	4037	3741
519	4043	3732
520	4050	3723
521	4055	3713
522	4059	3702
523	4064	3692
524	4067	3680
525	4071	3668
526	4074	3656
527	4118	3681
528	4144	3690
529	4150	3680
530	4177	3689
531	4190	3686
532	4199	3679
533	4205	3669
534	4212	3660
535	4231	3662
536	4235	3651
537	4241	3642
538	4250	3635
539	4256	3625
540	4263	3617
541	4268	3606
542	4278	3601
543	4282	3589
544	4285	3578
545	4289	3566
546	4326	3582
547	4330	3572
548	4335	3561
549	4341	3552
550	4345	3541
551	4349	3530
552	4353	3518
553	4358	3508
554	4383	3514
555	4387	3503
556	4398	3498
557	4402	3487
558	4407	3476
559	4411	3465
560	4414	3454
561	4418	3443
562	4422	3432
563	4445	3436
564	4475	3446
565	4479	3434
566	4482	3422
567	4485	3411
568	4489	3400
569	4514	3405
570	4530	3403
571	4537	3395
572	4543	3385
573	4553	3379
574	4558	3369
575	4561	3358
576	4565	3346
577	4568	3335
578	4572	3325
579	4576	3313
580	4579	3302
581	4582	3290
582	4585	3280
583	4589	3268
584	4592	3257
585	4595	3246
586	4598	3235
587	4601	3224
588	4605	3213
589	4608	3202
590	4611	3191
591	4614	3180
592	4618	3169
593	4628	3163
594	4632	3152
595	4636	3142
596	4639	3131
597	4643	3121
598	4646	3110
599	4649	3099
600	4653	3089
601	4658	3079
602	4696	3092
603	4705	3085
604	4722	3083
605	4728	3074
606	4736	3066
607	4767	3073
608	4773	3064
609	4780	3056
610	4812	3063
611	4818	3054
612	4822	3044
613	4826	3034
614	4830	3024
615	4857	3027
616	4861	3017
617	4873	3012
618	4877	3002
619	4888	2996
620	4893	2986
621	4906	2981
622	4922	2978
623	4936	2974
624	4953	2972
625	4980	2975
626	4986	2966
627	4990	2956
628	5023	2963
629	5035	2957
630	5055	2956
631	5059	2946
632	5065	2936
633	5070	2927
634	5074	2916
635	5077	2906
636	5086	2898
637	5090	2888
638	5093	2877
639	5101	2869
640	5105	2859
641	5108	2848
642	5113	2838
643	5117	2828
644	5120	2818
645	5124	2808
646	5128	2798
647	5132	2788
648	5136	2777
649	5139	2767
650	5143	2757
651	5175	2762
652	5198	2762
653	5211	2757
654	5216	2747
655	5226	2740
656	5232	2731
657	5239	2723
658	5245	2714
659	5251	2705
660	5256	2696
661	5263	2687
662	5269	2678
663	5274	2669
664	5280	2660
665	5300	2658
666	5304	2648
667	5310	2639
668	5331	2637
669	5335	2627
670	5338	2617
671	5345	2609
672	5349	2599
673	5353	2589
674	5358	2580
675	5362	2570
676	5366	2560
677	5370	2550
678	5376	2541
679	5408	2545
680	5437	2547
681	5453	2542
682	5458	2533
683	5463	2524
684	5467	2514
685	5472	2504
686	5477	2495
687	5481	2485
688	5485	2476
689	5491	2467
690	5495	2457
691	5499	2447
692	5513	2442
693	5517	2432
694	5522	2423
695	5528	2414
696	5550	2412
697	5559	2405
698	5566	2396
699	5572	2388
700	5591	2384
701	5595	2375
702	5599	2365
703	5603	2356
704	5607	2346
705	5611	2336
706	5615	2327
707	5635	2324
708	5639	2314
709	5643	2305
710	5647	2295
711	5651	2285
712	5655	2276
713	5672	2272
714	5683	2265
715	5689	2256
716	5696	2248
717	5700	2238
718	5704	2229
719	5709	2220
720	5713	2210
721	5716	2201
722	5721	2192
723	5740	2188
724	5744	2178
725	5748	2169
726	5752	2160
727	5781	2160
728	5793	2153
729	5800	2145
730	5807	2136
731	5811	2127
732	5817	2119
733	5839	2116
734	5848	2108
735	5885	2111
736	5894	2103
737	5901	2094
738	5906	2085
739	5910	2076
740	5914	2067
741	5918	2057
742	5962	2062
743	5976	2056
744	5985	2048
745	5991	2039
746	5996	2030
747	6024	2029
748	6038	2023
749	6046	2015
750	6070	2012
751	6083	2006
752	6091	1998
753	6097	1989
754	6102	1980
755	6107	1971
756	6111	1961
757	6115	1952
758	6119	1942
759	6122	1933
760	6125	1923
761	6138	1917
762	6141	1907
763	6144	1897
764	6147	1888
765	6150	1878
766	6153	1869
767	6156	1859
768	6158	1850
769	6162	1840
770	6165	1831
771	6168	1821
772	6171	1812
773	6173	1802
774	6177	1793
775	6182	1784
776	6207	1781
777	6217	1774
778	6224	1765
779	6230	1757
780	6245	1751
781	6249	1742
782	6253	1733
783	6256	1723
784	6260	1714
785	6263	1705
786	6267	1696
787	6270	1686
788	6273	1677
789	6277	1668
790	6281	1659
791	6284	1650
792	6286	1641
793	6289	1631
794	6295	1623
795	6298	1614
796	6301	1605
797	6304	1595
798	6308	1586
799	6311	1577
800	6314	1568
801	6317	1559
802	6320	1550
803	6324	1541
804	6372	1543
805	6386	1537
806	6399	1530
807	6408	1522
808	6414	1514
809	6419	1505
