iter	Passed	Remaining
399	35986	53979
400	36079	53894
401	36182	53823
402	36272	53733
403	36363	53644
404	36464	53571
405	36564	53496
406	36655	53407
407	36750	53323
408	36845	53240
409	36940	53158
410	37031	53069
411	37132	52994
412	37231	52916
413	37319	52824
414	37427	52758
415	37518	52669
416	37602	52571
417	37680	52464
418	37764	52365
419	37845	52262
420	37927	52161
421	37999	52047
422	38082	51947
423	38166	51849
424	38242	51739
425	38323	51638
426	38394	51522
427	38477	51422
428	38549	51309
429	38621	51195
430	38691	51079
431	38772	50978
432	38849	50872
433	38932	50774
434	39014	50674
435	39075	50547
436	39151	50439
437	39233	50341
438	39312	50237
439	39398	50143
440	39475	50037
441	39551	49931
442	39638	49838
443	39722	49742
444	39801	49639
445	39871	49526
446	39945	49418
447	40017	49307
448	40094	49202
449	40202	49136
450	40306	49064
451	40393	48973
452	40477	48876
453	40560	48779
454	40634	48671
455	40713	48570
456	40798	48475
457	40877	48375
458	40951	48267
459	41038	48175
460	41118	48075
461	41192	47968
462	41267	47863
463	41354	47771
464	41433	47670
465	41521	47580
466	41595	47473
467	41681	47381
468	41763	47284
469	41853	47196
470	41928	47091
471	42006	46990
472	42084	46889
473	42169	46795
474	42249	46696
475	42325	46594
476	42400	46489
477	42475	46385
478	42551	46283
479	42629	46181
480	42697	46070
481	42774	45969
482	42857	45874
483	42936	45774
484	43014	45675
485	43092	45575
486	43170	45475
487	43252	45379
488	43330	45280
489	43414	45186
490	43486	45080
491	43563	44980
492	43624	44863
493	43701	44762
494	43780	44665
495	43857	44564
496	43937	44467
497	44012	44366
498	44088	44265
499	44165	44165
500	44246	44069
501	44329	43975
502	44409	43879
503	44487	43781
504	44567	43684
505	44650	43591
506	44730	43495
507	44811	43400
508	44884	43297
509	44967	43204
510	45051	43112
511	45128	43012
512	45205	42914
513	45285	42818
514	45377	42734
515	45485	42664
516	45579	42582
517	45649	42476
518	45723	42375
519	45798	42275
520	45874	42175
521	45958	42084
522	46033	41984
523	46104	41881
524	46181	41783
525	46264	41691
526	46348	41599
527	46473	41544
528	46611	41501
529	46710	41422
530	46814	41348
531	46913	41269
532	47012	41191
533	47120	41119
534	47268	41084
535	47368	41005
536	47476	40934
537	47570	40850
538	47699	40796
539	47812	40728
540	47894	40634
541	48045	40599
542	48148	40522
543	48257	40450
544	48350	40365
545	48448	40285
546	48550	40206
547	48660	40136
548	48757	40053
549	48856	39973
550	48938	39879
551	49034	39796
552	49143	39723
553	49246	39645
554	49345	39565
555	49440	39480
556	49534	39396
557	49642	39322
558	49736	39237
559	49826	39149
560	49913	39059
561	50006	38972
562	50108	38893
563	50193	38802
564	50283	38713
565	50365	38619
566	50462	38536
567	50553	38449
568	50646	38363
569	50728	38268
570	50797	38165
571	50869	38063
572	50943	37963
573	51032	37874
574	51121	37785
575	51206	37693
576	51288	37599
577	51372	37507
578	51440	37402
579	51519	37307
580	51597	37210
581	51675	37113
582	51752	37016
583	51823	36915
584	51920	36832
585	52043	36767
586	52137	36683
587	52244	36606
588	52349	36529
589	52441	36442
590	52529	36353
591	52619	36264
592	52738	36196
593	52858	36128
594	52940	36034
595	53056	35964
596	53147	35876
597	53255	35800
598	53342	35710
599	53432	35621
600	53525	35535
601	53618	35448
602	53720	35367
603	53814	35282
604	53910	35197
605	53996	35106
606	54098	35025
607	54194	34941
608	54292	34858
609	54383	34769
610	54489	34691
611	54594	34612
612	54675	34517
613	54775	34435
614	54859	34342
615	54962	34262
616	55057	34176
617	55160	34095
618	55264	34015
619	55366	33934
620	55462	33849
621	55564	33767
622	55659	33681
623	55758	33597
624	55852	33511
625	55934	33417
626	56024	33328
627	56109	33236
628	56184	33138
629	56261	33042
630	56341	32947
631	56428	32857
632	56511	32764
633	56578	32662
634	56655	32565
635	56739	32473
636	56831	32385
637	56947	32311
638	57055	32233
639	57154	32149
640	57257	32067
641	57358	31984
642	57455	31899
643	57533	31804
644	57619	31712
645	57701	31619
646	57774	31521
647	57851	31425
648	57941	31336
649	58026	31244
650	58111	31153
651	58194	31060
652	58284	30971
653	58399	30896
654	58494	30810
655	58609	30734
656	58732	30662
657	58821	30572
658	58923	30490
659	59026	30407
660	59123	30322
661	59224	30238
662	59312	30148
663	59412	30064
664	59503	29975
665	59601	29890
666	59701	29805
667	59806	29724
668	59906	29639
669	60002	29553
670	60093	29464
671	60183	29375
672	60327	29312
673	60411	29219
674	60536	29147
675	60631	29060
676	60727	28973
677	60818	28884
678	60911	28795
679	60990	28701
680	61064	28604
681	61149	28512
682	61226	28417
683	61305	28322
684	61387	28229
685	61469	28136
686	61558	28046
687	61638	27952
688	61717	27857
689	61793	27762
690	61864	27664
691	61946	27571
692	62025	27477
693	62109	27385
694	62198	27295
695	62280	27203
696	62366	27112
697	62442	27016
698	62519	26921
699	62601	26829
700	62698	26743
701	62778	26649
702	62856	26555
703	62930	26459
704	63013	26367
705	63093	26274
706	63174	26181
707	63257	26089
708	63341	25997
709	63425	25906
710	63501	25811
711	63590	25721
712	63659	25624
713	63736	25530
714	63820	25439
715	63899	25345
716	63981	25253
717	64067	25162
718	64150	25071
719	64226	24976
720	64305	24883
721	64392	24793
722	64472	24700
723	64555	24609
724	64637	24517
725	64716	24424
726	64795	24331
727	64870	24237
728	64954	24146
729	65035	24054
730	65168	23981
731	65271	23897
732	65357	23806
733	65440	23715
734	65527	23625
735	65616	23536
736	65704	23446
737	65787	23355
738	65875	23265
739	65958	23174
740	66037	23082
741	66113	22988
742	66192	22895
743	66278	22805
744	66341	22707
745	66425	22616
746	66502	22523
747	66581	22431
748	66662	22339
749	66740	22246
750	66821	22155
751	66906	22064
752	66986	21972
753	67066	21881
754	67145	21789
755	67222	21696
756	67301	21603
757	67378	21511
758	67461	21420
759	67538	21328
760	67625	21238
761	67697	21144
762	67770	21050
763	67848	20958
764	67922	20864
765	68003	20774
766	68091	20684
767	68172	20593
768	68254	20502
769	68336	20412
770	68414	20320
771	68497	20229
772	68579	20139
773	68659	20047
774	68740	19956
775	68818	19865
776	68902	19775
777	68971	19680
778	69050	19589
779	69139	19500
780	69222	19410
781	69300	19318
782	69376	19226
783	69438	19130
784	69539	19045
785	69639	18960
786	69727	18871
787	69804	18779
788	69885	18689
789	69956	18596
790	70044	18507
791	70124	18416
792	70212	18327
793	70293	18237
794	70387	18150
795	70511	18070
796	70607	17984
797	70694	17894
798	70789	17808
799	70889	17722
800	70982	17634
801	71082	17549
802	71184	17463
803	71282	17377
804	71417	17299
805	71525	17215
806	71624	17129
807	71723	17043
808	71819	16956
809	71920	16870
810	72014	16782
811	72113	16696
812	72196	16605
813	72273	16514
814	72357	16424
815	72428	16331
816	72513	16242
817	72594	16151
818	72677	16061
819	72755	15970
820	72837	15880
821	72921	15790
822	72998	15699
823	73072	15607
824	73156	15517
825	73235	15427
826	73312	15336
827	73396	15246
828	73480	15157
829	73563	15067
830	73644	14977
831	73726	14886
832	73860	14807
833	73957	14720
834	74055	14633
835	74158	14547
836	74249	14459
837	74338	14370
838	74433	14283
839	74536	14197
840	74647	14112
841	74741	14025
842	74813	13933
843	74891	13842
844	74977	13753
845	75064	13664
846	75143	13573
847	75219	13482
848	75302	13392
849	75374	13301
850	75448	13210
851	75532	13120
852	75664	13039
853	75733	12947
854	75802	12855
855	75872	12763
856	75938	12671
857	76016	12580
858	76080	12488
859	76147	12396
860	76219	12304
861	76284	12212
862	76348	12120
863	76422	12029
864	76495	11938
865	76558	11846
866	76631	11755
867	76711	11665
868	76781	11574
869	76846	11482
870	76911	11391
871	76979	11299
872	77043	11207
873	77111	11116
874	77189	11027
875	77254	10935
876	77315	10843
877	77372	10751
878	77433	10659
879	77506	10569
880	77569	10477
881	77628	10385
882	77697	10295
883	77760	10203
884	77833	10113
885	77906	10024
886	77965	9932
887	78026	9841
888	78089	9750
889	78144	9658
890	78221	9569
891	78288	9478
892	78366	9389
893	78423	9298
894	78492	9208
895	78554	9117
896	78614	9027
897	78674	8936
898	78733	8845
899	78796	8755
900	78853	8664
901	78906	8573
902	78970	8482
903	79048	8394
904	79100	8303
905	79162	8213
906	79225	8123
907	79282	8032
908	79340	7942
909	79390	7851
910	79445	7761
911	79508	7671
912	79567	7582
913	79626	7492
914	79685	7402
915	79750	7313
916	79816	7224
917	79885	7135
918	79940	7045
919	80000	6956
920	80067	6867
921	80125	6778
922	80183	6689
923	80240	6599
924	80304	6511
925	80376	6423
926	80431	6333
927	80492	6245
928	80563	6157
929	80619	6068
930	80675	5979
931	80737	5890
932	80799	5802
933	80857	5713
934	80918	5625
935	80979	5537
936	81036	5448
937	81097	5360
938	81151	5271
939	81213	5183
940	81273	5095
941	81331	5007
942	81394	4919
943	81455	4832
944	81518	4744
945	81574	4656
946	81626	4568
947	81695	4481
948	81763	4394
949	81828	4306
950	81885	4219
951	81950	4131
952	82019	4045
953	82072	3957
954	82135	3870
955	82219	3784
956	82306	3698
957	82368	3611
958	82424	3523
959	82479	3436
960	82549	3350
961	82619	3263
962	82681	3176
963	82741	3089
964	82810	3003
965	82874	2916
966	82932	2830
967	82992	2743
968	83051	2656
969	83109	2570
970	83169	2483
971	83223	2397
972	83296	2311
973	83371	2225
974	83430	2139
975	83506	2053
976	83566	1967
977	83621	1881
978	83685	1795
979	83743	1709
980	83798	1623
981	83857	1537
982	83914	1451
983	83972	1365
984	84049	1279
985	84137	1194
986	84199	1109
987	84252	1023
988	84308	937
989	84368	852
990	84431	766
991	84486	681
992	84545	595
993	84601	510
994	84658	425
995	84717	340
996	84787	255
997	84848	170
998	84923	85
999	84980	0
0
964	106669	3868
965	106748	3757
966	106820	3645
967	106905	3534
968	106987	3422
969	107071	3311
970	107152	3200
971	107229	3088
972	107304	2977
973	107388	2866
974	107466	2755
975	107548	2644
976	107627	2533
977	107705	2422
978	107803	2312
979	107915	2202
980	107999	2091
981	108092	1981
982	108180	1870
983	108266	1760
984	108364	1650
985	108463	1540
986	108563	1429
987	108667	1319
988	108757	1209
989	108840	1099
990	108921	989
991	109007	879
992	109088	769
993	109167	658
994	109245	548
995	109324	439
996	109436	329
997	109519	219
998	109593	109
999	109704	0
