iter	Logloss
0	0.6482314324
1	0.615646397
2	0.5863002161
3	0.5669040981
4	0.5507762593
5	0.5370603552
6	0.5260849281
7	0.5134102859
8	0.503396678
9	0.4970612144
10	0.4893337419
11	0.4842323644
12	0.4788441382
13	0.4756613954
14	0.4715338791
15	0.4672822021
16	0.4649034541
17	0.4630746435
18	0.4599647055
19	0.4575581589
20	0.4561542987
21	0.4535166581
22	0.4516829515
23	0.4505958319
24	0.4495562738
25	0.448558187
26	0.447531361
27	0.4462046375
28	0.4453691686
29	0.4443724524
30	0.4433054553
31	0.4427325039
32	0.4421457267
33	0.4415887906
34	0.4409369463
35	0.4403814599
36	0.4397304226
37	0.4392926369
38	0.4388748218
39	0.4384642021
40	0.4379221481
41	0.4374730173
42	0.4370856797
43	0.4363469348
44	0.4360841391
45	0.4358197783
46	0.4354877314
47	0.4349061242
48	0.4344283431
49	0.4342323217
50	0.4338932332
51	0.4336138021
52	0.4333340234
53	0.4329415686
54	0.432546964
55	0.4322320899
56	0.4319374445
57	0.4317215969
58	0.4314957538
59	0.4312921071
60	0.4309622802
61	0.430765721
62	0.4304602169
63	0.4302830333
64	0.4301322806
65	0.4299490897
66	0.4297612721
67	0.4295036934
68	0.4292882291
69	0.4290575712
70	0.4288533935
71	0.4286470908
72	0.4284104733
73	0.4282141037
74	0.4280711231
75	0.4277910912
76	0.4276118656
77	0.4274521632
78	0.4272813408
79	0.426865572
80	0.4267417074
81	0.4265859795
82	0.42645285
83	0.4261916255
84	0.4260440494
85	0.4259007043
86	0.4257474415
87	0.425612668
88	0.4254526526
89	0.4252676518
90	0.4250985601
91	0.4250156281
92	0.4248843644
93	0.4247658219
94	0.4244343486
95	0.424330221
96	0.4241894547
97	0.4240694409
98	0.4239493186
99	0.4237510088
100	0.42362409
101	0.4234973835
102	0.4233379617
103	0.4230989089
104	0.4229394624
105	0.4228374334
106	0.4226404059
107	0.4224862365
108	0.4223583173
109	0.422090726
110	0.421772531
111	0.4214234519
112	0.421312533
113	0.4209825922
114	0.4206862192
115	0.4205397796
116	0.4204176159
117	0.4202793451
118	0.4200757233
119	0.4198869192
120	0.4196957451
121	0.4195006021
122	0.4194152575
123	0.4192625131
124	0.4189689914
125	0.4187423352
126	0.4186006522
127	0.4183872022
128	0.4181665968
129	0.4180512173
130	0.4179223884
131	0.4177939763
132	0.4177004566
133	0.4175194009
134	0.4174287222
135	0.4172608006
136	0.4171486997
137	0.4169753237
138	0.4168444603
139	0.416501871
140	0.4164064525
141	0.4162911211
142	0.4160554334
143	0.4159258838
144	0.4158599412
145	0.4157626946
146	0.4155660697
147	0.4154271931
148	0.4153425572
149	0.4152472198
150	0.4151479731
151	0.4150772328
152	0.4149749181
153	0.4148830777
154	0.4147348042
155	0.4145836859
156	0.4143981752
157	0.4143142997
158	0.4142323091
159	0.4140843152
160	0.413955838
161	0.4138147131
162	0.4136676012
163	0.4135952474
164	0.4134079085
165	0.4133286516
166	0.4131345695
167	0.4129960955
168	0.4128984205
169	0.4127824901
170	0.4125502836
171	0.4124444474
172	0.412344269
173	0.4122157798
174	0.4121185084
175	0.4119813845
176	0.4118590019
177	0.4117914368
178	0.411680068
179	0.411529385
180	0.4114613562
181	0.4113784984
182	0.4112944397
183	0.4112233254
184	0.4111431218
185	0.4110676053
186	0.4109879146
187	0.4108890543
188	0.4107222849
189	0.4106259402
190	0.4105003555
191	0.4104158592
192	0.4102134721
193	0.4101244145
194	0.4099495843
195	0.4098606658
196	0.4098011234
197	0.4097063174
198	0.4095760569
199	0.4094927342
200	0.4094363441
201	0.4093584738
202	0.4092658696
203	0.4091617127
204	0.4090476238
205	0.4089747756
206	0.408886814
207	0.4087790492
208	0.4087336624
209	0.408619397
210	0.4085301375
211	0.4084473012
212	0.4083555216
213	0.4082742234
214	0.4082314144
215	0.4081578113
216	0.408057877
217	0.4079662106
218	0.4078873393
219	0.4077324655
220	0.407695571
221	0.4076299402
222	0.4074893569
223	0.4074249847
224	0.4073468384
225	0.4072760578
226	0.4072323699
227	0.407142186
228	0.4070575927
229	0.4069992935
230	0.406938313
231	0.4068989068
232	0.4068291477
233	0.4067731666
234	0.406698952
235	0.4066419125
236	0.4065365102
237	0.406473974
238	0.4063896276
239	0.4063554865
240	0.4062911097
241	0.4061919463
242	0.4060933584
243	0.4060214842
244	0.405940807
245	0.4058562059
246	0.4057635116
247	0.4056765428
248	0.4056170413
249	0.4055328475
250	0.405473904
251	0.4053880102
252	0.4053066987
253	0.4052437879
254	0.4051610278
255	0.4050857475
256	0.404973516
257	0.4048668926
258	0.4047782813
259	0.4047018083
260	0.4046595674
261	0.4046019277
262	0.4045364408
263	0.4044650635
264	0.4043782671
265	0.404268364
266	0.4041856192
267	0.4041287332
268	0.4040575146
269	0.403910449
270	0.4038434841
271	0.4036828734
272	0.4036375369
273	0.403575372
274	0.4035037208
275	0.4034679154
276	0.4033337898
277	0.4032658328
278	0.4031975513
279	0.4031529735
280	0.4030653829
281	0.4029856782
282	0.4028758
283	0.4027847719
284	0.4026495761
285	0.4026072912
286	0.4025319193
287	0.4024315625
288	0.4023583296
289	0.4022975601
290	0.4022363008
291	0.4021644693
292	0.4020521944
293	0.4020085748
294	0.4019398889
295	0.4018735458
296	0.4018239339
297	0.4017345236
298	0.401681898
299	0.4016026541
300	0.4015168748
301	0.4014624298
302	0.4014183444
303	0.40135621
304	0.4012795984
305	0.4012259658
306	0.4011615033
307	0.4011027636
308	0.4010552987
309	0.4009940641
310	0.4008709277
311	0.4008044236
312	0.4007363652
313	0.4006702703
314	0.4006224063
315	0.4005763603
316	0.4005031192
317	0.4004597657
318	0.4003810015
319	0.4003338074
320	0.4002372704
321	0.400129386
322	0.4000806702
323	0.4000085809
324	0.3999298644
325	0.3998273548
326	0.3997406986
327	0.3996560131
328	0.3995981338
329	0.3995013341
330	0.3994478464
331	0.3994001889
332	0.3993505827
333	0.3992845
334	0.3992488041
335	0.3991748917
336	0.3990726489
337	0.3989765435
338	0.3989124724
339	0.3988611731
340	0.3988066335
341	0.3987645021
342	0.3986772849
343	0.398599427
344	0.3985538117
345	0.398476294
